代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
123027.SZ,蓝晓转债,2021-04-30,169.5,175.0,220.35,173.455,213.94,44.44,26.21828908554572,324,0.621369863014,1.484931506849315,0.3271945405253809,-13.4814,90.76509657,123.17490343,135.7073457581845,29.22,3.422313483915127,163.8603696098563,50.07963039014373,30.56238095238095,30.1292,5.6454,-50.07963039014373,180.5323585850907,6,2019-06-10,0.5,深交所,可转债
113609.SH,永安转债,2021-04-30,117.27,117.6,135.49,117.27,130.95,13.68,11.66538756715272,158,0.173150684932,5.569863013698631,0.3054600992745323,-1.5091,84.08988253,46.86011747,55.72622539136279,20.34,4.916420845624385,137.3156342182891,-6.365634218289086,-4.635767991407089,45.1793,1.6669,6.365634218289086,163.2962611991998,6,2020-11-24,0.4,上交所,可转债
113016.SH,小康转债,2021-04-30,369.19,380.0,414.0,379.0,411.03,41.84,11.3329180096969,176,0.723287671233,2.156164383561644,0.3649368659221955,-41.2465,91.91773025,319.11226975,347.1716162725853,15.7,6.369426751592357,308.6624203821656,102.3675796178344,33.16489888567891,-29.3757,13.3544,-102.3675796178344,335.802918047104,6,2017-11-06,0.3,上交所,可转债
113543.SH,欧派转债,2021-04-30,214.38,216.38,242.0,215.69,230.71,16.33,7.617315048045526,258,0.424109589041,0.2,0.235128842887027,-15.2171,99.68043232,131.02956768,131.4496382392897,71.69,1.394894685451249,232.6684335332682,-1.958433533268238,-0.8417272182254196,103.075,8.2911,1.958433533268238,233.4143503574927,6,2019-08-16,0.4,上交所,可转债
127029.SZ,中钢转债,2021-04-30,134.75,134.2,161.0,134.002,145.0,10.25,7.606679035250464,43,0.023561643836,2.504109589041096,0.1379310344827586,-3.5547,91.2481524,53.7518476,58.90732709235656,5.89,16.97792869269949,177.4193548387097,-32.41935483870968,-18.27272727272727,26.7702,2.28,32.41935483870968,194.4361065646187,6,2021-03-19,0.2,深交所,可转债
128126.SZ,赣锋转2,2021-04-30,168.21,168.05,183.3,167.601,179.1,10.89,6.474050294275013,268,0.220273972603,0.03287671232876712,0.1280374475115299,-1339.4656,100.08390978,79.01609022,78.94984357994173,60.27,1.659200265472043,181.6658370665339,-2.565837066533931,-1.412393825920175,79.2194,12.7261,2.565837066533931,181.513529463291,6,2020-08-06,0.3,深交所,可转债
113618.SH,美诺转债,2021-04-30,121.26,130.0,139.58,122.93,129.03,7.77,6.407718951014349,107,0.117260273973,5.709589041095891,0.3100054250949392,-1.9866,79.63606951,49.39393049,62.02457101903747,37.47,2.668801708033093,116.6266346410462,12.40336535895383,10.6351052631579,32.4654,4.1228,-12.40336535895383,146.4495113315471,6,2021-01-14,0.4,上交所,可转债
123110.SZ,九典转债,2021-04-30,117.217,118.501,125.799,117.51,123.0,5.783,4.933584718940086,30,0.032876712329,1.580821917808219,0.3252032520325203,-0.2253,87.83707136,35.16292864,40.03199115767969,26.48,3.77643504531722,121.0347432024169,1.965256797583082,1.623712948517941,40.4839,8.5265,-1.965256797583082,137.7946023568527,6,2021-04-01,0.4,深交所,可转债
128111.SZ,中矿转债,2021-04-30,201.6,200.012,216.11,196.615,210.799,9.199,4.562996031746032,324,0.443835616438,2.528767123287671,0.2371927760568124,-9.9473,87.69132286,123.10767714,140.3875242440379,15.47,6.464124111182935,211.5707821590175,-0.7717821590174531,-0.3647867399938894,31.8682,3.086,0.7717821590174531,241.2676365902156,6,2020-06-11,0.5,深交所,可转债
113611.SH,福20转债,2021-04-30,132.74,133.11,138.8,132.8,138.14,5.4,4.068103058610818,151,0.103424657534,0.2465753424657534,0.1189978005239902,-3.7551,99.06295674,39.07704326,39.44667567571333,73.69,1.357036232867418,124.114533858054,14.02546614194599,11.30042204242292,35.5443,7.6893,-14.02546614194599,125.2885416935457,6,2020-12-01,0.25,上交所,可转债
